;ordernumber;series_name;model_name;product_line;shutter;monocolor;sensor_optical_size;resolution_horizontal;resolution_vertical;pixel_size_horizontal;pixel_size_vertical;sensor_name;housing_name;interface;sensor_framerate_min;sensor_framerate_max;mount;price
152;108219;Basler dart;daA3840-30mc (No-Mount) - Tray (40pcs);;Rolling;Color;"1/1.8""";3840;2160;2,1;2,1;AR0821;Board Level;BCON for MIPI;30;30;No-Mount;79
153;108220;Basler dart;daA3840-30mc (S-Mount);;Rolling;Color;"1/1.8""";3840;2160;2,1;2,1;AR0821;Board Level;BCON for MIPI;30;30;S-Mount;115
154;108221;Basler dart;daA3840-30mc (S-Mount) - Tray (40pcs);;Rolling;Color;"1/1.8""";3840;2160;2,1;2,1;AR0821;Board Level;BCON for MIPI;30;30;S-Mount;92
155;106686;Basler dart;daA1920-30um (No-Mount);;Rolling;Mono;"1/3.7""";1920;1080;2,2;2,2;MT9P031;Board Level;USB 3.0;30;30;No-Mount;159
156;106687;Basler dart;daA1920-30um (CS-Mount);;Rolling;Mono;"1/3.7""";1920;1080;2,2;2,2;MT9P031;Board Level;USB 3.0;30;30;CS-Mount;169
157;106688;Basler dart;daA1920-30um (S-Mount);;Rolling;Mono;"1/3.7""";1920;1080;2,2;2,2;MT9P031;Board Level;USB 3.0;30;30;S-Mount;169
158;106689;Basler dart;daA1920-30uc (No-Mount);;Rolling;Color;"1/3.7""";1920;1080;2,2;2,2;MT9P031;Board Level;USB 3.0;30;30;No-Mount;169
159;106690;Basler dart;daA1920-30uc (CS-Mount);;Rolling;Color;"1/3.7""";1920;1080;2,2;2,2;MT9P031;Board Level;USB 3.0;30;30;CS-Mount;179
160;106691;Basler dart;daA1920-30uc (S-Mount);;Rolling;Color;"1/3.7""";1920;1080;2,2;2,2;MT9P031;Board Level;USB 3.0;30;30;S-Mount;179
161;106955;Basler pulse;puA1920-30um;;Rolling;Mono;"1/3.7""";1920;1080;2,2;2,2;MT9P031;Box;USB 3.0;30;30;C-Mount;189
162;106956;Basler pulse;puA1920-30uc;;Rolling;Color;"1/3.7""";1920;1080;2,2;2,2;MT9P031;Box;USB 3.0;30;30;C-Mount;199
